party,state,year,region_type,administration_score,education_score,employment_score,health_score,public_transport_score,overall_sentiment_score,sentiment_label,governance_review
AAP,Goa,2022,State,5.0,5.5,4.8,5.2,4.5,5.0,Neutral,"Limited presence, promises vs delivery gap, early performance"
NDA (Bihar),Bihar,2022,State,6.1,6.4,5.7,6.0,5.5,5.9,Neutral,"Roads improved, education growing, health needs work"
BJP,Manipur,2022,State,6.4,6.3,5.5,6.1,4.8,5.8,Neutral,"Border infrastructure, peace efforts, education moderate"
INC,Meghalaya,2018,State,5.8,6.2,5.4,5.9,4.7,5.6,Neutral,"Tribal welfare, coal mining issues, moderate development"
BJP,Arunachal Pradesh,2022,State,6.5,6.3,5.6,6.0,4.5,5.8,Neutral,"Border development, Central schemes, connectivity challenge"
DMK,Tamil Nadu,2015,State,6.7,7.2,6.5,6.8,7.2,6.9,Positive,"Welfare schemes, education tradition, transport, Chennai growth"
TRS/BRS,Telangana,2018,State,6.8,6.7,6.4,6.5,6.2,6.5,Positive,"Kaleshwaram project, urban development, social welfare"
BJP,Haryana,2022,State,6.6,6.5,5.9,6.3,6.0,6.3,Neutral,"Agri income concerns, education moderate, health schemes"
INC,Haryana,2019,State,6.0,6.3,5.8,6.0,5.7,5.9,Neutral,"Brief tenure, moderate impact, competitive exam issues"
JMM,Jharkhand,2022,State,5.9,6.0,5.5,5.8,4.9,5.6,Neutral,"Tribal rights, mining policy, education moderate, transport low"
BJP,Jharkhand,2019,State,6.1,6.2,5.6,5.9,5.0,5.8,Neutral,"Tribal welfare, Central scheme delivery, moderate administration"
Sikkim Democratic Front,Sikkim,2019,State,7.0,7.5,6.5,7.3,6.0,6.9,Positive,"First organic state, tourism, clean governance, education quality"
SKM,Sikkim,2022,State,7.1,7.6,6.6,7.4,6.2,7.0,Positive,"Continued welfare, tourism boost, education, anti-corruption"
NC,Jammu & Kashmir,2014,State,5.8,6.4,5.5,6.1,5.5,5.9,Neutral,"Tourism dependent, separatist challenge, moderate governance"
PDP,Jammu & Kashmir,2016,State,5.5,6.2,5.3,5.9,5.2,5.6,Neutral,"Coalition tensions, security concerns, welfare delivery mixed"
BJP,Jammu & Kashmir (LG),2022,UT,6.2,6.5,5.7,6.3,5.6,6.1,Neutral,"Development push, Central funds, security improvement, elections awaited"
